auxco_id,title,task,task_description,default_kldb_id,default_isco_id,kldb_title_short
9999,Soldat/in,Angehörige der regulären Streitkräfte,Es gilt die militärische Disziplin und die Pflicht zum militärischen Gehorsam gegenüber Vorgesetzten.,01402,0310,Angehörige der regulären Streitkräfte in sonstigen Rängen
1010,Acker- und Erntehelfer/in,Ausführung von Hilfsarbeiten in der Ernte und im Ackerbau,z.B. kleine Reparaturen durchführen; Erzeugnisse entladen; Felder bestellen und bearbeiten,11101,9211,Landwirtschaft (ohne Spezialisierung)
1011,Helfer/in - Tierwirtschaft und im Ackerbau,Ausführung von Hilfsarbeiten in der Nutztierhaltung und im Ackerbau,"z.B. Tiere füttern, reinigen, tränken und beaufsichtigen; Obst und Gemüse pflücken; Stroh aufstapeln; graben und schaufeln",11101,9213,Landwirtschaft (ohne Spezialisierung)
1012,Landwirt/in,Erzeugung von land- und tierwirtschaftlichen Produkten,z.B. verkaufsfördernde Maßnahmen durchführen; landwirtschaftlichen Erzeugnisse planen und vermarkten; Saaten planen und diese säen und ernten; Nutztiere züchten und halten; Pflanzen und Tiere beobachten und ggf. Krankheiten feststellen,11102,6130,Landwirtschaft (ohne Spezialisierung)
1013,Ackerwirt/in,"Anbau, Pflege und Ernte von Ackerpflanzen sowie deren einfache Verarbeitung und Vertrieb",z.B. Auswahl und Aussaat von Setzlingen treffen; Boden kultivieren; Pflanzen pflegen; Schutz gegen Pestizide vornehmen; Verkaufsförderung und Vermarktung durchführen; Lagerung und Verarbeitung durchführen; Maschinen bedienen,11102,6111,Landwirtschaft
1014,Landwirtschaftsberater/in,Beratung von landwirtschaftlichen Betrieben in betriebswirtschaftlichen und produktionstechnischen Angelegenheiten,"z.B. zu den Themen Pflanzenschutz, artgerechte Tierhaltung, Maschineneinsatz, Vermarktung der erzeugten Produkte, oder Aufstellen eines Wirtschaftsplans beraten",11103,2132,Landwirtschaft (ohne Spezialisierung)
1015,Agraringenieur/in,Entwicklung neuer landwirtschaftlicher Verfahren sowie Beratung von landwirtschaftlichen Betrieben oder der Politik,z.B. durch die Analyse von Daten landwirtschaftliche Produkte optimieren; Verfahren und Techniken zur Lösung von Problemen entwickeln; in der Agrarpolitik mitarbeiten; Konzepte für ökologische und wirtschaftliche Fragestellungen entwickeln; landwirtschaftliche Betriebe und Organisationen beraten,11104,2132,Landwirtschaft (ohne Spezialisierung)
1019,Beamter/ Beamtin - Agrarverwaltung,Tätigkeiten im gehobenen technischen Dienst bei einer Landwirtschaftsbehörde,z.B. Qualitätsbewertungen durchführen; Umsetzung von Förderprogrammen,11103,2132,Landwirtschaft
1016,Agrotechniker/in / Mechanisator/in,Planung und Koordination des Einsatzes von landwirtschaftlichen Maschinen,z.B. landwirtschaftliche Produktion mit technischer Hilfe koordinieren und übernehmen; Daten der Maschinen sammeln und aufbereiten; Qualitätsstandards aufrechterhalten; Tätigkeiten im landwirtschaftlichen Versuchswesen,11113,3142,Landtechnik
1017,Agraringenieur/in - Mechanisierung der Landwirtschaft,Analyse und Optimierung des Einsatzes von Landmaschinen und landwirtschaftlichen Produktionsverfahren,z.B. Einsatz  von landwirtschaftlichen Anlagen und Fahrzeugen analysieren; Verfahren unter Berücksichtigung wirtschaftlicher und ökologischer Faktoren optimieren; Wartungen überprüfen;  den Vertrieb  beraten,11114,2132,Landtechnik
1018,Landwirtschaftliche/r Gutachter/in,Erstellung von landwirtschaftlichen Gutachten,"z.B. Informationen sammeln und bewerten; Gutachten (u.a. für Versicherungen) erstellen; Wert von Maschinen, Viehbestand etc. feststellen; bezüglich landwirtschaftlicher Fragen beraten",11123,3315,Landwirtschaftliche Sachverständige
1020,höherer landwirtschaftlicher Beratungsdienst,"Beratung von Behörden, Unternehmen und Organisationen zu landwirtschaftlichen Themen",z.B. ländliche Strukturentwicklungen und Förderprogramme planen; Gutachten zur landwirtschaftlichen Entwicklung erstellen; Unternehmen beraten; Lehrtätigkeit in Agrarwirtschaft wahrnehmen,11124,2132,Landwirtschaftliche Sachverständige
1024,Landwirtschaftlicher Labortechniker/in,"Analyse, Dokumentation und Interpretation von landwirtschaftlichen Messwerten",z.B. landwirtschaftliche Produkte mittels mikrobiologischer Verfahren analysieren; Pflanzen und Pilze  untersuchen; Wirksamkeit von Pflanzenschutzmitteln optimieren; Untersuchungsreihen planen und koordinieren; Boden- und wasserproben entnehmen und untersuchen,11132,3142,Landwirtschaftlich-technisches Laboratorium
1074,Pflanzenschützer/in,Unterstützung von landwirtschaftlichen Betrieben beim Pflanzenschutz und bei der Schädlingsbekämpfung,z.B. landwirtschaftliche Betriebe bei Pflanzenschutz und Schädlingsbekämpfung unterstützen; Düngemittel ausbringen; Schädlinge fernhalten; bei Frühwarndiensten mitwirken und Behandlungspläne umsetzen,11182,3142,Landwirtschaft
1075,Anbauer/in mit Spezialisierung,"Anbau, Pflege und Ernte von Hopfen, Kartoffeln oder Tabak sowie deren Zucht",z.B. spezifische Anbauformen durchführen; Aussaat und Pflanzenpflege sowie Ernte unterstützen; Vermarktung für spezielle Sorten übernehmen; Sorten durch Zucht weiterentwickeln; das Gedeihen von Pflanzen fördern,11182,6111,Landwirtschaft
1076,Pflanzenarzt/-ärztin,Erforschung von Pflanzenkrankheiten und deren Behandlung,z.B. Pflanzen und Pflanzenkrankheiten im Labor analysieren; Umwelteinflüsse untersuchen; Maßnahmen zum Pflanzenschutz erforschen; Maßnahmen des vorsorgenden Pflanzenschutzes erforschen und veranlassen,11184,2132,Landwirtschaft
1077,Entwicklungshelfer/in - Pflanzenbauwissenschaften,Entwicklungshilfe im landwirtschaftlichen Bereich,z.B. spezielle Aufgaben in der Pflanzenproduktion übernehmen; produktspezifische Vermarktungsstrategien entwickeln und koordinieren; Umwelteinflüsse untersuchen; Maßnahmen zur Schädlingsbekämpfung und vorbeugenden Schädlingsbekämpfung ergreifen und erforschen,11184,2132,Landwirtschaft
