auxco_id,title,similar_auxco_id,similar_title,similarity,default_kldb_id
1010,Acker- und Erntehelfer/in,1011,Helfer/in - Tierwirtschaft und im Ackerbau,hoch,11101
1010,Acker- und Erntehelfer/in,1012,Landwirt/in,mittel,11101
1010,Acker- und Erntehelfer/in,1013,Ackerwirt/in,mittel,11101
1011,Helfer/in - Tierwirtschaft und im Ackerbau,1010,Acker- und Erntearbeiter/in,hoch,11101
1011,Helfer/in - Tierwirtschaft und im Ackerbau,1502,Nutztierhaltung - Helfer/in,hoch,11101
1011,Helfer/in - Tierwirtschaft und im Ackerbau,1012,Landwirt/in,mittel,11101
1011,Helfer/in - Tierwirtschaft und im Ackerbau,1013,Ackerwirt/in,mittel,11101
1012,Landwirt/in,1011,Helfer/in in der Tierwirtschaft und im Ackerbau,mittel,11102
1012,Landwirt/in,1851,Landwirtschaftliche/r Betriebsleiter/in,mittel,11102
1013,Ackerwirt/in,1010,Acker- und Erntearbeiter,mittel,11102
1013,Ackerwirt/in,1011,Helfer/in in der Tierwirtschaft und im Ackerbau,mittel,11102
1014,Landwirtschaftsberater/in,1019,Beamter/ Beamtin - Agrarverwaltung,mittel,11103
1014,Landwirtschaftsberater/in,1018,Landwirtschaftlicher Gutachter/in,hoch,11103
1014,Landwirtschaftsberater/in,1851,Landwirtschaftliche/r Betriebsleiter/in,mittel,11103
1019,Beamter/ Beamtin - Agrarverwaltung,1014,Anbauberater/in,mittel,11103
1019,Beamter/ Beamtin - Agrarverwaltung,1018,Landwirtschaftlicher Gutachter/in,hoch,11103
1015,Agraringenieur/in,1014,Anbauberater/in,mittel,11104
1015,Agraringenieur/in,1018,Landwirtschaftliche/r Gutachter/in,mittel,11104
1015,Agraringenieur/in,1017,Agraringenieur/in - Mechanisierung der Landwirtschaft,hoch,11104
1016,Agrotechniker/in / Mechanisator/in,1017,Agraringenieur/in - Mechanisierung der Landwirtschaft,mittel,11113
1016,Agrotechniker/in / Mechanisator/in,1725,Land- und Baumaschinentechniker/in,mittel,11113
1017,Agraringenieur/in - Mechanisierung der Landwirtschaft,1016,Agrotechniker/in/ Mechanisator/in,mittel,11114
1017,Agraringenieur/in - Mechanisierung der Landwirtschaft,1725,Land- und Baumaschinentechniker/in,mittel,11114
1017,Agraringenieur/in - Mechanisierung der Landwirtschaft,1015,Agraringenieur/in,mittel,11114
1018,Landwirtschaftliche/r Gutachter/in,1014,Anbauberater/in,mittel,11123
1020,höherer landwirtschaftlicher Beratungsdienst,1018,Landwirtschaftliche/r Gutachter/in,hoch,11124
1020,höherer landwirtschaftlicher Beratungsdienst,4004,"Biologe/Biologin, Fachgebiet Ökologie",mittel,11124
1024,Landwirtschaftlicher Labortechniker/in,4001,Biologisch-technische/r Assistent/in,hoch,11132
1024,Landwirtschaftlicher Labortechniker/in,4013,Chemisch-Technische/r Assistent/in,mittel,11132
1074,Pflanzenschützer/in,1054,Gärtner/in,mittel,11182
1074,Pflanzenschützer/in,1014,Landwirtschaftsberater/in,mittel,11182
1074,Pflanzenschützer/in,1076,Pflanzenarzt/-ärztin,mittel,11182
1075,Anbauer/in mit Spezialisierung,1074,Pflanzenschützer/in,mittel,11182
1075,Anbauer/in mit Spezialisierung,1012,Landwirt/in,hoch,11182
1076,Pflanzenarzt/-ärztin,1077,Entwicklungshelfer/in - Pflanzenbauwissenschaften,mittel,11184
1076,Pflanzenarzt/-ärztin,4004,Biologe/Biologin - Ökologie,hoch,11184
1077,Entwicklungshelfer/in - Pflanzenbauwissenschaften,1076,Pflanzenarzt/-ärztin,mittel,11184
1077,Entwicklungshelfer/in - Pflanzenbauwissenschaften,1851,Landwirtschaftliche/r Betriebsleiter/in,mittel,11184
1851,Landwirtschaftliche/r Betriebsleiter/in,1851,Landwirtschaftliche/r Betriebsleiter/in,hoch,11193
1851,Landwirtschaftliche/r Betriebsleiter/in,1015,Agraringenieur/in,mittel,11193
1502,Helfer/in - Nutztierhaltung,1503,Tierwirt/in - Nutztierhaltung,mittel,11211
1502,Helfer/in - Nutztierhaltung,1046,Tierpflegehelfer/in,hoch,11211
1503,Tierwirt/in - Nutztierhaltung,1502,Helfer/in - Nutztierhaltung,hoch,11212
1503,Tierwirt/in - Nutztierhaltung,1012,Landwirt/in,mittel,11212
1503,Tierwirt/in - Nutztierhaltung,1047,Tierpfleger/in,hoch,11212
1504,Fachagrarwirt/in - Zucht- und Fleischleistungsprüfung,1505,Ingenieur/in - Vieh- und Fleischwirtschaft,hoch,11213
1504,Fachagrarwirt/in - Zucht- und Fleischleistungsprüfung,1508,Fachberater/in – Geflügelzucht,mittel,11213
1504,Fachagrarwirt/in - Zucht- und Fleischleistungsprüfung,1710,Tierwirtschaftsmeister/in,hoch,11213
1507,Klauenpfleger/in,1503,Tierwirt/in - Nutztierhaltung,mittel,11213
1507,Klauenpfleger/in,1039,Hufschmied/in,hoch,11213
1506,Tierwirt/in - Geflügelhaltung,1508,Fachberater/in – Geflügelzucht,mittel,11222
1506,Tierwirt/in - Geflügelhaltung,1503,Tierwirt/in - Nutztierhaltung,hoch,11222
1506,Tierwirt/in - Geflügelhaltung,1012,Landwirt/in,hoch,11222
1506,Tierwirt/in - Geflügelhaltung,1047,Tierpfleger/in,mittel,11222
1506,Tierwirt/in - Geflügelhaltung,1710,Tierwirtschaftsmeister/in,mittel,11222
1508,Fachberater/in – Geflügelzucht,1506,Tierwirt/in - Geflügelhaltung,hoch,11223
1509,Imker/in,1510,Bienenzuchtberater/in,mittel,11232
1510,Bienenzuchtberater/in,1509,Imker/in,hoch,11233
1511,Haustierzüchter/in,1852,Zuchtbuchführer/in,hoch,11282
1511,Haustierzüchter/in,1512,Pelztierzüchter/in,mittel,11282
1512,Pelztierzüchter/in,1511,Haustierzüchter/in,mittel,11282
1512,Pelztierzüchter/in,1503,Tierwirt/in - Nutztierhaltung,mittel,11282
1852,Zuchtbuchführer/in,1511,Haustierzüchter/in,hoch,11283
1852,Zuchtbuchführer/in,1512,Pelztierzüchter/in,mittel,11283
1852,Zuchtbuchführer/in,1504,Fachagrarwirt/in - Zucht- und Fleischleistungsprüfung,mittel,11283
1852,Zuchtbuchführer/in,7008,Tierarztfachhelfer/in - Besamungswesen,hoch,11283
1710,Tierwirtschaftsmeister/in,1710,Tierwirtschaftsmeister/in,hoch,11293
1710,Tierwirtschaftsmeister/in,1712,Tierpflegemeister/in,mittel,11293
1710,Tierwirtschaftsmeister/in,1504,Fachagrarwirt/in - Zucht- und Fleischleistungsprüfung,mittel,11293
1035,Pferdepfleger/in - Pferdehaltung und Service,1036,Pferdewirtschaftsfacharbeiter/in,hoch,11302
1035,Pferdepfleger/in - Pferdehaltung und Service,1711,Pferdewirtschaftsmeister/in,mittel,11302
1035,Pferdepfleger/in - Pferdehaltung und Service,1047,Tierpfleger/in,mittel,11302
1036,Pferdewirtschaftsfacharbeiter/in,1035,Pferdepfleger/in,hoch,11302
1037,Pferdewirt/in - Zucht,1035,Pferdepfleger/in,hoch,11312
1038,Pferdewirt/in - Pferdereiten,1035,Pferdepfleger/in,hoch,11322
1039,Hufschmied/in,2007,Grob-/Hammerschmied/in,hoch,11333
1040,Kutscher/in,1038,Pferdewirt/in - Pferdereiten,hoch,11342
1040,Kutscher/in,1035,Pferdepfleger/in,mittel,11342
1711,Pferdewirtschaftsmeister/in,1711,Pferdewirtschaftsmeister/in,hoch,11393
1711,Pferdewirtschaftsmeister/in,1710,Tierwirtschaftsmeister/in,mittel,11393
1711,Pferdewirtschaftsmeister/in,1712,Tierpflegemeister/in,mittel,11393
1711,Pferdewirtschaftsmeister/in,1038,Pferdewirt - Pferdereiten,mittel,11393
1517,Fischereihelfer/in,1518,Fischer/in,hoch,11401
1519,Fischwirt/in,1518,Fischer/in,hoch,11412
1519,Fischwirt/in,1517,Fischereihelfer/in,hoch,11412
1519,Fischwirt/in,1715,Fischwirtschaftsmeister/in,hoch,11412
1518,Fischer/in,1519,Fischwirt/in,hoch,11422
1518,Fischer/in,1517,Fischereihelfer/in,hoch,11422
1518,Fischer/in,1715,Fischwirtschaftsmeister/in,hoch,11422
1520,Fischereitechniker/in,1518,Fischer/in,hoch,11423
1520,Fischereitechniker/in,1519,Fischwirt/in,hoch,11423
1520,Fischereitechniker/in,1517,Fischereihelfer/in,hoch,11423
1520,Fischereitechniker/in,1715,Fischwirtschaftsmeister/in,hoch,11423
1520,Fischereitechniker/in,4004,"Biologe/Biologin, Fachgebiet Ökologie",mittel,11423
1520,Fischereitechniker/in,5052,Kapitän/in,mittel,11423
1520,Fischereitechniker/in,5051,Nautische/r Schiffsoffizier/in,mittel,11423
1520,Fischereitechniker/in,9066,Lebensmitteltechniker/in - Fischerzeugnisse,mittel,11423
1715,Fischwirtschaftsmeister/in,1518,Fischer/in,hoch,11493
1715,Fischwirtschaftsmeister/in,1519,Fischwirt/in,hoch,11493
1715,Fischwirtschaftsmeister/in,1520,Fischereitechniker/in,hoch,11493
1715,Fischwirtschaftsmeister/in,9066,Lebensmitteltechniker/in - Fischerzeugnisse,mittel,11493
1715,Fischwirtschaftsmeister/in,1710,Tierwirtschaftsmeister/in,mittel,11493
1046,Tierpflegehelfer/in,1047,Tierpfleger/in,hoch,11501
1046,Tierpflegehelfer/in,1502,Nutztierhaltung - Helfer/in,hoch,11501
1046,Tierpflegehelfer/in,1011,Helfer/in in der Tierwirtschaft und im Ackerbau,mittel,11501
1047,Tierpfleger/in,1046,Tierpflegehelfer/in,hoch,11502
1047,Tierpfleger/in,1712,Tierpflegemeister/in,hoch,11502
1047,Tierpfleger/in,1503,Tierwirt/in - Nutztierhaltung,mittel,11502
1048,Hundefriseur/in,1047,Tierpfleger/in,hoch,11522
1049,Tierpfleger/in - Forschung und Klinik,1047,Tierpfleger/in,mittel,11582
1049,Tierpfleger/in - Forschung und Klinik,1826,Tierarzthelfer/in,hoch,11582
1050,Tierlehrer/in oder Falkner/in,1047,Tierpfleger/in,hoch,11582
1712,Tierpflegemeister/in,1047,Tierpfleger/in,hoch,11593
