auxco_id,question_id,question_index,entry_type,question_type,question_text_present,question_text_past,answer_id,answer_text,answer_id_combination,answer_kldb_id,answer_isco_id,corresponding_answer_level,last_question
1004,Q1004_1,1,question,anforderungsniveau,Ist für Ihre Tätigkeit in der Regel eine abgeschlossene Berufsausbildung erforderlich?,War für diese Tätigkeit in der Regel eine abgeschlossene Berufsausbildung erforderlich?,"","","","","","",
1004,Q1004_1,1,answer_option,"","","",1,Ja,"",51322,4412,isco_skill_level_2,TRUE
1004,Q1004_1,1,answer_option,"","","",2,Nein,"",51321,9621,isco_skill_level_1,TRUE
1005,Q1005_1,1,question,aufsicht,"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?","Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?","","","","","","",
1005,Q1005_1,1,answer_option,"","","",1,Ja,"",51394,1324,isco_manager,TRUE
1005,Q1005_1,1,answer_option,"","","",2,Nein,"",51393,4321,isco_supervisor,TRUE
1006,Q1006_1,1,question,aufsicht,"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?","Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?","","","","","","",
1006,Q1006_1,1,answer_option,"","","",1,Ja,"",51394,1324,isco_manager,TRUE
1006,Q1006_1,1,answer_option,"","","",2,Nein,"",51393,4323,isco_supervisor,TRUE
1012,Q1012_1,1,question,sonstige,Schließt Ihre Arbeit auch die Haltung und Zucht von Tieren mit ein?,Hat Ihre Arbeit auch die Haltung und Zucht von Tieren mit eingeschlossen?,"","","","","","",
1012,Q1012_1,1,answer_option,"","","",1,Ja,"",11102,6130,"",TRUE
1012,Q1012_1,1,answer_option,"","","",2,Nein,"",11102,6111,"",TRUE
1014,Q1014_1,1,question,anforderungsniveau,Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?,War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?,"","","","","","",
1014,Q1014_1,1,answer_option,"","","",1,Ja,"",11104,2132,isco_skill_level_4,TRUE
1014,Q1014_1,1,answer_option,"","","",2,Nein,"",11103,2132,isco_skill_level_3,TRUE
1015,Q1015_1,1,question,anforderungsniveau,Ist für Ihre Tätigkeit ein abgeschlossenes Masterstudium erforderlich?,War für diese Tätigkeit ein abgeschlossenes Masterstudium erforderlich?,"","","","","","",
1015,Q1015_1,1,answer_option,"","","",1,Ja,"",11104,2132,isco_skill_level_4,TRUE
1015,Q1015_1,1,answer_option,"","","",2,Nein,"",11103,2132,isco_skill_level_3,TRUE
1024,Q1024_1,1,question,anforderungsniveau,Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?,War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?,"","","","","","",
1024,Q1024_1,1,answer_option,"","","",1,Nein,"",11132,3142,isco_skill_level_2,TRUE
1024,Q1024_1,1,answer_option,"","","",2,Ja,"",11133,3142,isco_skill_level_3,TRUE
1038,Q1038_1,1,question,sonstige,Beinhaltet ihre Tätigkeit die Ausbildung von Reitern?,Hat ihre Tätigkeit die Ausbildung von Reitern beinhaltet?,"","","","","","",
1038,Q1038_1,1,answer_option,"","","",1,Nein,"",11322,5164,"",TRUE
1038,Q1038_1,1,answer_option,"","","",2,Ja,"",11322,3423,"",TRUE
1047,Q1047_1,1,question,sonstige,Mit welchen Tieren arbeiten Sie?,Mit welchen Tieren haben Sie gearbeitet?,"","","","","","",
1047,Q1047_1,1,answer_option,"","","",1,Nutztieren,"",11512,5164,"",TRUE
1047,Q1047_1,1,answer_option,"","","",2,Haus- oder Zootieren,"",11522,5164,"",TRUE
1047,Q1047_1,1,answer_option,"","","",3,Keine der obigen Antworten trifft zu,"",11502,5164,"",TRUE
1054,Q1054_1,1,question,sonstige,Mit welchen Pflanzen arbeiten Sie?,Mit welchen Pflanzen haben Sie gearbeitet?,"","","","","","",
1054,Q1054_1,1,answer_option,"","","",1,Bäumen und Sträuchern,"",12102,6112,"",TRUE
1054,Q1054_1,1,answer_option,"","","",2,Nutzpflanzen,"",12102,6111,"",TRUE
1054,Q1054_1,1,answer_option,"","","",3,allgemein mit Pflanzen und Saatgut,"",12102,6113,"",TRUE
1066,Q1066_1,1,question,anforderungsniveau,Ist für Ihre Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?,War für diese Tätigkeit in der Regel eine berufliche Weiterbildung erforderlich?,"","","","","","",
1066,Q1066_1,1,answer_option,"","","",1,Ja,"",12143,6113,isco_skill_level_3,TRUE
1066,Q1066_1,1,answer_option,"","","",2,Nein,"",12142,6113,isco_skill_level_2,TRUE
1100,Q1100_1,1,question,sonstige,Mit welchem Sprachraum beschäftigen Sie sich in Ihrer Arbeit?,Mit welchem Sprachraum haben Sie sich in Ihrer Arbeit beschäftigt?,"","","","","","",
1100,Q1100_1,1,answer_option,"","","",1,Germanistik,"",91114,2643,"",TRUE
1100,Q1100_1,1,answer_option,"","","",2,Anglistik/Amerikanistik,"",91124,2643,"",TRUE
1100,Q1100_1,1,answer_option,"","","",3,Romanistik,"",91134,2643,"",TRUE
1100,Q1100_1,1,answer_option,"","","",4,Slawistik,"",91144,2643,"",TRUE
1100,Q1100_1,1,answer_option,"","","",5,Arabistik und Orientalistik,"",91154,2643,"",TRUE
1100,Q1100_1,1,answer_option,"","","",6,Mit dem asiatischen Raum,"",91164,2643,"",TRUE
1100,Q1100_1,1,answer_option,"","","",7,Altphilologie und/oder Neogriechisch,"",91174,2643,"",TRUE
1100,Q1100_1,1,answer_option,"","","",8,Es handelt sich um einen anderen spezifischen Sprachraum (z.B. Skandinavistik),"",91184,2643,"",TRUE
1100,Q1100_1,1,answer_option,"","","",9,Mehr als eine Antwort trifft zu,"",91104,2643,"",TRUE
1227,Q1227_1,1,question,anforderungsniveau,Ist für Ihre Tätigkeit in der Regel abgeschlossenes Masterstudium erforderlich?,War für diese Tätigkeit in der Regel abgeschlossenes Masterstudium erforderlich?,"","","","","","",
1227,Q1227_1,1,answer_option,"","","",1,Ja,"",94404,2654,isco_skill_level_4,TRUE
1227,Q1227_1,1,answer_option,"","","",2,Nein,"",94403,3435,isco_skill_level_3,TRUE
1235,Q1235_1,1,question,anforderungsniveau,Ist für Ihre Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?,War für diese Tätigkeit in der Regel ein abgeschlossenes Masterstudium erforderlich?,"","","","","","",
1235,Q1235_1,1,answer_option,"","","",1,Ja,"",94514,2149,isco_skill_level_4,TRUE
1235,Q1235_1,1,answer_option,"","","",2,Nein,"",94513,3435,isco_skill_level_3,TRUE
1240,Q1240_1,1,question,aufsicht,"Sind Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?","Waren Sie befugt strategische Entscheidungen zu treffen, z.B. zur Einführung neuer Verfahren, zu finanziellen Investitionen oder zur Einstellung und Entlassung von Personal?","","","","","","",
1240,Q1240_1,1,answer_option,"","","",1,Ja,"",94494,1431,isco_manager,TRUE
1240,Q1240_1,1,answer_option,"","","",2,Nein,"",94493,2654,isco_supervisor,TRUE
1246,Q1246_1,1,question,anforderungsniveau,Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?,Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?,"","","","","","",
1246,Q1246_1,1,answer_option,"","","",1,eine abgeschlossene Berufsausbildung,"",94532,3521,isco_skill_level_2,TRUE
1246,Q1246_1,1,answer_option,"","","",2,eine vertiefende berufliche Weiterbildung mit Mindestdauer von 18 Monaten,"",94533,3521,isco_skill_level_3,TRUE
1246,Q1246_1,1,answer_option,"","","",3,ein abgeschlossenes Bachelorstudium im Bereich Film- und Fernsehproduktion oder einem verwandten Fach,"",94533,3521,isco_skill_level_3,TRUE
1246,Q1246_1,1,answer_option,"","","",4,ein abgeschlossenes Masterstudium im Bereich Film- und Fernsehproduktion oder einem verwandten Fach,"",94534,3521,isco_skill_level_4,TRUE
1249,Q1249_1,1,question,anforderungsniveau,Welche Art von Ausbildung ist für Ihre Tätigkeit in der Regel erforderlich?,Welche Art von Ausbildung war für diese Tätigkeit in der Regel erforderlich?,"","","","","","",
1249,Q1249_1,1,answer_option,"","","",1,eine abgeschlossene Berufsausbildung,"",94612,3435,isco_skill_level_2,TRUE
1249,Q1249_1,1,answer_option,"","","",2,eine vertiefende berufliche Weiterbildung mit Mindestdauer von 18 Monaten,"",94613,3435,isco_skill_level_3,TRUE
1249,Q1249_1,1,answer_option,"","","",3,ein abgeschlossenes Bachelorstudium im Bereich Bühnen- und Kostümbild oder einem verwandten Fach,"",94613,3435,isco_skill_level_3,TRUE
1249,Q1249_1,1,answer_option,"","","",4,ein abgeschlossenes Masterstudium im Bereich Bühnen- und Kostümbild oder einem verwandten Fach,"",94614,3435,isco_skill_level_4,TRUE
1518,Q1518_1,1,question,sonstige,Wo fischen Sie?,Wo haben Sie gefischt?,"","","","","","",
1518,Q1518_1,1,answer_option,"","","",1,In der Hochsee,"",11422,6223,"",TRUE
1518,Q1518_1,1,answer_option,"","","",2,In Binnengewässern oder an der Küste,"",11422,6222,"",TRUE
