isco_id,auxco_id,auxco_title,isco_title
0310,9999,Soldat/in,"Armed forces occupations, other ranks"
0210,9999,Soldat/in,Non-commissioned armed forces officers
0110,9999,Soldat/in,Commissioned armed forces officers
9211,1010,Acker- und Erntehelfer/in,Crop farm labourers
9213,1011,Helfer/in - Tierwirtschaft und im Ackerbau,Mixed crop and livestock farm labourers
6130,1012,Landwirt/in,Mixed crop and animal producers
6111,1012,Landwirt/in,Field crop and vegetable growers
6111,1013,Ackerwirt/in,Field crop and vegetable growers
2132,1014,Landwirtschaftsberater/in,"Farming, forestry and fisheries advisers"
2132,1015,Agraringenieur/in,"Farming, forestry and fisheries advisers"
3142,1016,Agrotechniker/in / Mechanisator/in,Agriculultural technicians
2132,1017,Agraringenieur/in - Mechanisierung der Landwirtschaft,"Farming, forestry and fisheries advisers"
3315,1018,Landwirtschaftliche/r Gutachter/in,Valuers and loss assessors
2132,1019,Beamter/ Beamtin - Agrarverwaltung,"Farming, forestry and fisheries advisers"
2132,1020,höherer landwirtschaftlicher Beratungsdienst,"Farming, forestry and fisheries advisers"
3142,1024,Landwirtschaftlicher Labortechniker/in,Agricultural technicians
5164,1035,Pferdepfleger/in - Pferdehaltung und Service,Pet groomers and animal care workers
6121,1036,Pferdewirtschaftsfacharbeiter/in,Livestock and dairy producers
6121,1037,Pferdewirt/in - Zucht,Livestock and dairy producers
5164,1038,Pferdewirt/in - Pferdereiten,Pet groommers and animal care workers
3423,1038,Pferdewirt/in - Pferdereiten, Fitness and Recreation Instructors and Programme Leaders
7221,1039,Hufschmied/in,"Blacksmiths, hammer smiths and forging press workers"
9332,1040,Kutscher/in,Drivers of animal-drawn vehicles and machinery
9212,1046,Tierpflegehelfer/in,Livestock farm labourers
5164,1047,Tierpfleger/in,Pet groomers and animal care workers
5164,1048,Hundefriseur/in,Pet groomers and animal care workers
5164,1049,Tierpfleger/in - Forschung und Klinik,Pet groomers and animal care workers
5164,1050,Tierlehrer/in oder Falkner/in,Pet groomers and animal care workers
9214,1053,Gartenbauhelfer/in,Garden and horticultural labourers
6113,1054,Gärtner/in,"Gardeners, horticultural and nursery growers"
