kldb_id,auxco_id,auxco_title,kldb_title
01402,9999,Soldat/in,Angehörige der regulären Streitkräfte in sonstigen Rängen
01302,9999,Soldat/in,Unteroffiziere ohne Portepee
01203,9999,Soldat/in,Unteroffiziere mit Portepee
01104,9999,Soldat/in,Offiziere
11101,1010,Acker- und Erntehelfer/in,Berufe in der Landwirtschaft (o.S.) - Helfer-/Anlerntätigkeiten
11101,1011,Helfer/in - Tierwirtschaft und im Ackerbau,Landwirtschaft (o.S.) - Helfer
11102,1012,Landwirt/in,Berufe in der Landwirtschaft (o.S.) - fachlich ausgerichtete Tätigkeiten
11102,1013,Ackerwirt/in,Berufe in der Landwirtschaft (o.S.) - fachlich ausgerichtete Tätigkeiten
11103,1014,Landwirtschaftsberater/in,Berufe in der Landwirtschaft (o.S.) - komplexe Spezialistentätigkeiten
11104,1014,Landwirtschaftsberater/in,Berufe in der Landwirtschaft (o.S.) - hoch komplexe Tätigkeiten
11104,1015,Agraringenieur/in,Berufe in der Landwirtschaft (o.S.) - hoch komplexe Tätigkeiten
11103,1015,Agraringenieur/in,Berufe in der Landwirtschaft (o.S.) - komplexe Spezialistentätigkeiten
11113,1016,Agrotechniker/in / Mechanisator/in,Landtechnik - Spezialist
11114,1017,Agraringenieur/in - Mechanisierung der Landwirtschaft,Landtechnik - Experte
11123,1018,Landwirtschaftliche/r Gutachter/in,Landwirtschaftliche Sachverständige - komplexe Spezialistentätigkeiten
11103,1019,Beamter/ Beamtin - Agrarverwaltung,Berufe in der Landwirtschaft (o.S.) - komplexe Spezialistentätigkeiten
11124,1020,höherer landwirtschaftlicher Beratungsdienst,Landwirtschaftlicher Sachverständiger - hoch komplexe Tätigkeiten
11132,1024,Landwirtschaftlicher Labortechniker/in,Berufe im landwirtschaftlich-technischen Laboratorium - fachlich ausgerichtete Tätigkeiten
11133,1024,Landwirtschaftlicher Labortechniker/in,Berufe im landwirtschaftlich-technischen Laboratorium - komplexe Spezialistentätigkeiten
11302,1035,Pferdepfleger/in - Pferdehaltung und Service,Berufe in der Pferdewirtschaft (o.S.) - fachlich ausgerichtete Tätigkeiten
11302,1036,Pferdewirtschaftsfacharbeiter/in,Berufe in der Pferdewirtschaft (o.S.) - fachlich ausgerichtete Tätigkeiten
11312,1037,Pferdewirt/in - Zucht,Berufe in der Pferdewirtschaft - Pferdezucht - fachlich ausgerichtete Tätigkeiten
